date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:25	44127/44127	---M-Z	200	added ('OK')	text/javascript	etag:%22ac5f-627b11c297f4e-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/js/frontend.min2d5e.js	(from https://98o.976.myftpupload.com/)
17:43:26	35063/35063	---M-Z	200	added ('OK')	text/css	etag:W/%2288f7-627b8ac8752ff-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/elementor/css/post-71.css?ver=1732523982&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/elementor/css/post-7111af.css	(from https://98o.976.myftpupload.com/about/)
17:43:26	48261/48261	---M--	200	added ('OK')	image/jpeg	etag:%22bd6c-5d667963b5680%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/business-meeting-1.jpg?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/business-meeting-1b0d0.jpg	(from https://98o.976.myftpupload.com/about/)
17:43:26	102437/102437	---M--	200	added ('OK')	image/jpeg	etag:%2219ca2-5d662e85b7440%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/galaxy-hotel-macau-china-hd-wallpaper-for-desktop-1920%c3%971200-wallpaper-preview-1.jpg?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/galaxy-hotel-macau-china-hd-wallpaper-for-desktop-1920%c3%971200-wallpaper-preview-1b0d0.jpg	(from https://98o.976.myftpupload.com/about/)
17:43:27	187856/187856	---M--	200	added ('OK')	image/jpeg	etag:%22301fa-5d667c42fdd40%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/team-business-asians-5772023.jpg?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/team-business-asians-5772023b0d0.jpg	(from https://98o.976.myftpupload.com/about/)
17:43:27	55574/55574	---M--	200	added ('OK')	image/jpeg	etag:%22db01-5d667a41ea2c0%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/f0a35355f71fd745735066e19aaf1ba9.jpg?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/f0a35355f71fd745735066e19aaf1ba9b0d0.jpg	(from https://98o.976.myftpupload.com/about/)
17:43:28	34486/34486	---M-Z	200	added ('OK')	text/css	etag:W/%2286b6-627b8ace64819-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/elementor/css/post-1895.css?ver=1732523988&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/elementor/css/post-1895782f.css	(from https://98o.976.myftpupload.com/services/)
17:43:28	56217/56217	---M-Z	200	added ('OK')	text/css	etag:%22db99-6273737be7072-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/wpforms-lite/assets/css/frontend/classic/wpforms-base.min.css?ver=1.9.2.2&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/wpforms-lite/assets/css/frontend/classic/wpforms-base.min153c.css	(from https://98o.976.myftpupload.com/contact-us/)
17:43:29	232/232	---M-Z	200	added ('OK')	text/css	etag:%22e8-627b11c2869f4-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-google_maps.min.css?ver=3.25.10&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/plugins/elementor/assets/css/widget-google_maps.min2d5e.css	(from https://98o.976.myftpupload.com/contact-us/)
17:43:29	16709/16709	---M-Z	200	added ('OK')	text/css	etag:%224145-627b89b58e2e5-gzip%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/elementor/css/post-73.css?ver=1732523694&time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/elementor/css/post-735eeb.css	(from https://98o.976.myftpupload.com/contact-us/)
